chunkId,section,itemCode,text
PMO-7P-001,Section 7,7p,"Grade ""A"" pasteurized milk and milk products shall not exceed 20,000 per mL as determined by the Standard Plate Count (SPC). The bacterial estimate shall be made on the pasteurized product and is applicable to all Grade ""A"" pasteurized milk and milk products. Samples shall be taken at the plant where the milk or milk product is pasteurized, or at any point after pasteurization up to and including the point of delivery to the consumer or to a plant receiving the product. When the SPC exceeds 20,000 per mL, the milk or milk product is in violation of this standard, and appropriate regulatory action shall be initiated by the regulatory authority having jurisdiction."
PMO-7P-002,Section 7,7p,"The standard plate count for Grade ""A"" pasteurized milk and milk products shall be performed in accordance with the procedures described in the most current edition of Standard Methods for the Examination of Dairy Products (SMEDP), published by the American Public Health Association (APHA). Alternative methods may be used provided they have been evaluated and found to give equivalent results by the appropriate certifying body. Results obtained by the SPC method are expressed as colony-forming units per milliliter (CFU/mL). Laboratories performing these analyses must be properly certified under the applicable state or federal laboratory certification program."
PMO-7P-003,Section 7,7p,"Coliform count standards for Grade ""A"" pasteurized milk and milk products: the coliform count shall not exceed 10 per mL. The coliform determination shall be performed in accordance with Standard Methods for the Examination of Dairy Products (SMEDP). When a sample of pasteurized milk or milk product is found to contain more than 10 coliforms per mL, this constitutes a violation, and the regulatory authority shall take appropriate action. Elevated coliform counts in pasteurized products may indicate post-pasteurization contamination, inadequate sanitation of equipment, or failure of the pasteurization process to achieve proper time-temperature parameters."
PMO-7P-004,Section 7,7p,"Sampling procedures for bacteriological examination of Grade ""A"" pasteurized milk and milk products: samples shall be collected in sterile containers by authorized representatives of the regulatory authority. Samples must be maintained at a temperature of 0 to 4.4 degrees Celsius (32 to 40 degrees Fahrenheit) during transport to the laboratory. Analysis shall commence within the timeframes specified in Standard Methods for the Examination of Dairy Products. Chain of custody documentation must be maintained for all samples collected for regulatory purposes. A minimum of four samples shall be collected within a six-month period for the purpose of establishing compliance history."
PMO-7P-005,Section 7,7p,"Drug residue standards: Grade ""A"" raw milk for pasteurization and Grade ""A"" pasteurized milk and milk products shall show no positive results on drug residue testing. All bulk milk pickup tankers shall be sampled and tested for beta-lactam drug residues prior to processing. Positive drug residue results require the load to be rejected and the source identified for regulatory action. The presence of drug residues constitutes adulteration and is a violation of this ordinance. Testing shall be performed using screening methods evaluated and approved by the FDA for the detection of drug residues in milk."
PMO-7R-001,Section 7,7r,"Individual producer milk: Somatic Cell Count (SCC) shall not exceed 750,000 per mL for Grade ""A"" raw milk for pasteurization. The somatic cell count is an indicator of udder health in the milking herd and serves as a quality criterion for raw milk supplies. Milk from individual producers that exceeds 750,000 somatic cells per mL is in violation of this requirement. The regulatory authority shall take appropriate enforcement action when SCC violations are documented. The SCC shall be determined using methods described in Standard Methods for the Examination of Dairy Products or by electronic counting methods approved by the appropriate certifying body."
PMO-7R-002,Section 7,7r,"Somatic cell count testing shall be performed on raw milk samples collected from individual producer supplies. Testing frequency shall be at least four times in any consecutive six-month period. Results of somatic cell count testing shall be reported to the producer and to the regulatory authority. When three of the last five consecutive somatic cell count tests exceed 750,000 per mL, the permit shall be suspended. The producer shall demonstrate compliance through follow-up testing before reinstatement of the permit. Records of all SCC test results shall be maintained by the regulatory authority for a minimum of two years."
PMO-7R-003,Section 7,7r,"Commingled milk in a bulk milk pickup tanker: when individual producer SCC tests reveal counts exceeding 750,000 per mL, the regulatory authority may also conduct testing of the commingled load. The standard for commingled raw milk is that the SCC shall not exceed 750,000 per mL. The purpose of the individual producer SCC standard is to identify producers whose milk quality may adversely impact the commingled load and to ensure that raw milk supplies used for Grade ""A"" pasteurized products meet minimum quality standards. The SCC standard reflects current understanding of the relationship between somatic cells, udder health, and overall milk quality."
PMO-16P-001,Section 16,16p,"Pasteurization Time and Temperature: Every particle of milk or milk product shall be heated in properly designed and operated equipment to the required temperature and held continuously at or above that temperature for the specified time. For HTST (High Temperature Short Time) pasteurization, the minimum temperature shall be 161 degrees Fahrenheit (71.7 degrees Celsius) and the minimum holding time shall be 15 seconds. The temperature and time requirements are based on the thermal death time of Coxiella burnetii, the most heat-resistant non-spore-forming pathogen of public health significance found in milk. These time-temperature parameters have been established to ensure complete destruction of this organism with an adequate margin of safety."
PMO-16P-002,Section 16,16p,"HTST pasteurization systems shall be equipped with indicating thermometers and recording thermometers that accurately measure the temperature of the milk at the holding tube outlet. The indicating thermometer shall be accurate to within plus or minus 0.5 degrees Fahrenheit (0.25 degrees Celsius) and shall be tested against a known accurate thermometer at least once every six months. The recording thermometer shall agree with the indicating thermometer within 1 degree Fahrenheit (0.5 degrees Celsius) at the pasteurization temperature. If the temperature of the milk drops below 161 degrees Fahrenheit at any point in the holding tube, the flow diversion device shall automatically divert the milk back to the raw side for re-pasteurization."
PMO-16P-003,Section 16,16p,"The holding tube in an HTST pasteurization system shall be designed and installed to ensure that every particle of milk is held at or above the required pasteurization temperature for at least 15 seconds. The holding tube shall be sloped upward in the direction of flow at a grade of at least one-quarter inch per foot (approximately 2 percent slope). The holding time shall be determined by the salt conductivity test or an equivalent timing method approved by the regulatory authority. The minimum holding time must be verified at the maximum flow rate of the system. Changes to the holding tube configuration, pump speed, or flow rate require re-timing of the holding tube."
PMO-16P-004,Section 16,16p,"Flow diversion device (FDD) requirements for HTST pasteurization: the flow diversion device shall be installed downstream of the holding tube and shall be designed to automatically divert milk to the raw regenerator section or raw constant-level tank when the temperature of the milk at the holding tube outlet drops below the pasteurization temperature of 161 degrees Fahrenheit. The FDD shall be activated by the indicating thermometer or its safety thermal limit recorder (STLR) controller. The FDD shall be tested for proper operation daily before processing begins. The leak-protector valve, if present, shall prevent forward flow of improperly pasteurized milk under all operating conditions."
